State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Idaho,ID,-,1,R+18,Raul Labrador,R,"113,052","242,252",53,31.8%,68.2%,0.0%,36.4%,"129,200",x,Trump
Idaho,ID,-,2,R+17,Mike Simpson,R,"95,940","205,292","25,005",29.4%,62.9%,7.7%,33.5%,"109,352",x,Trump
Illinois,IL,-,1,D+28,Bobby Rush,D,"234,037","81,817",8,74.1%,25.9%,0.0%,-48.2%,"-152,220",x,Clinton
Illinois,IL,-,2,D+29,Robin Kelly,D,"235,051","59,471",0,79.8%,20.2%,0.0%,-59.6%,"-175,580",x,Clinton
Illinois,IL,-,3,D+5,Dan Lipinski,D,"225,320",0,91,100.0%,0.0%,0.0%,-100.0%,"-225,320",x,Clinton
Illinois,IL,-,4,D+29,Luis Gutierrez,D,"171,297",0,0,100.0%,0.0%,0.0%,-100.0%,"-171,297",x,Clinton
Illinois,IL,-,5,D+16,Mike Quigley,D,"212,842","86,222","14,660",67.8%,27.5%,4.7%,-40.4%,"-126,620",x,Clinton
Illinois,IL,-,6,R+4,Peter Roskam,R,"143,591","208,555",0,40.8%,59.2%,0.0%,18.4%,"64,964",x,Clinton
Illinois,IL,-,7,D+36,Danny Davis,D,"250,584","46,882",0,84.2%,15.8%,0.0%,-68.5%,"-203,702",x,Clinton
Illinois,IL,-,8,D+8,Raja Krishnamoorthi,D,"144,954","103,617",0,58.3%,41.7%,0.0%,-16.6%,"-41,337",x,Clinton
Illinois,IL,-,9,D+15,Jan Schakowsky,D,"217,306","109,550",92,66.5%,33.5%,0.0%,-33.0%,"-107,756",x,Clinton
Illinois,IL,-,10,D+8,Brad Schneider,D,"150,435","135,535",26,52.6%,47.4%,0.0%,-5.2%,"-14,900",x,Clinton
Illinois,IL,-,11,D+8,Bill Foster,D,"166,578","108,995",0,60.4%,39.6%,0.0%,-20.9%,"-57,583",x,Clinton
Illinois,IL,-,12,EVEN,Mike Bost,R,"124,246","169,976","18,780",39.7%,54.3%,6.0%,14.6%,"45,730",x,Trump
Illinois,IL,-,13,EVEN,Rodney Davis,R,"126,811","187,583",0,40.3%,59.7%,0.0%,19.3%,"60,772",x,Trump
Illinois,IL,-,14,R+5,Randy Hultgren,R,"137,589","200,508",0,40.7%,59.3%,0.0%,18.6%,"62,919",x,Trump
Illinois,IL,-,15,R+14,John Shimkus,R,0,"274,554",0,0.0%,100.0%,0.0%,100.0%,"274,554",x,Trump
Illinois,IL,-,16,R+4,Adam Kinzinger,R,0,"259,722",131,0.0%,99.9%,0.1%,99.9%,"259,722",x,Trump
Illinois,IL,-,17,D+7,Cheri Bustos,D,"173,125","113,943",0,60.3%,39.7%,0.0%,-20.6%,"-59,182",x,Trump
Illinois,IL,-,18,R+11,Darin LaHood,R,"96,770","250,506",7,27.9%,72.1%,0.0%,44.3%,"153,736",x,Trump
Indiana,IN,-,1,D+10,Peter Visclosky,D,"207,515",0,"47,068",81.5%,0.0%,18.5%,-81.5%,"-207,515",x,Clinton
Indiana,IN,-,2,R+6,Jackie Walorski,R,"102,401","164,355","10,601",36.9%,59.3%,3.8%,22.3%,"61,954",x,Trump
Indiana,IN,-,3,R+13,Jim Banks,R,"66,023","201,396","19,828",23.0%,70.1%,6.9%,47.1%,"135,373",x,Trump
Indiana,IN,-,4,R+11,Todd Rokita,R,"91,256","193,412","14,766",30.5%,64.6%,4.9%,34.1%,"102,156",x,Trump
Indiana,IN,-,5,R+9,Susan Brooks,R,"123,849","221,957","15,329",34.3%,61.5%,4.2%,27.2%,"98,108",x,Trump
Indiana,IN,-,6,R+12,Luke Messer,R,"79,135","204,920","12,330",26.7%,69.1%,4.2%,42.4%,"125,785",x,Trump
Indiana,IN,-,7,D+13,Andre Carson,D,"158,739","94,456","11,475",60.0%,35.7%,4.3%,-24.3%,"-64,283",x,Clinton
Indiana,IN,-,8,R+8,Larry Bucshon,R,"93,356","187,702","13,655",31.7%,63.7%,4.6%,32.0%,"94,346",x,Trump
Indiana,IN,-,9,R+9,Trey Hollingsworth,R,"130,627","174,791","17,425",40.5%,54.1%,5.4%,13.7%,"44,164",x,Trump
Iowa,IA,-,1,D+5,Rod Blum,R,"177,403","206,903",671,46.1%,53.7%,0.2%,7.7%,"29,500",x,Trump
Iowa,IA,-,2,D+4,Dave Loebsack,D,"198,571","170,933",528,53.7%,46.2%,0.1%,-7.5%,"-27,638",x,Trump
